Edad;Genero;Comunidad;curso;centro_cod;horas_uso_pantallas_cod;mom_uso_pantallas;n_freq;Aplicaciones_frecuentes;n_aplic;uso_pant;num_activ;uso_apps;uso_pant_asig;n_asign_pantallas;herra_tec_tec_ayuda_aprend;decide_uso_tec;clases_mas_gustan_tec;facil_prof_joven;participacion_clase;usar_tec_aprendo_loquegusta;eleccion_aprend
8;1;10;1;2;1;25;1;139;2;220;4;1;491;3;2;2;4;2;3;2;4
9;1;10;1;2;1;8;1;890;2;157;3;3;462;5;3;3;4;2;4;2;4
8;1;10;1;2;1;4;4;865;6;246;7;1;268;3;2;4;2;4;4;2;4
9;1;10;1;2;1;6;2;799;3;32;2;3;270;2;2;0;1;4;1;2;3
8;1;10;1;2;1;6;2;782;5;89;5;4;568;0;3;1;3;1;2;2;4
8;1;6;1;10;1;12;1;617;4;42;3;3;420;4;3;3;4;4;2;4;4
8;1;13;1;5;2;1;1;897;2;137;2;1;105;1;4;2;4;2;2;3;3
8;1;13;1;5;2;7;3;799;3;308;5;4;105;1;4;4;4;0;0;4;4
8;1;13;1;5;1;25;1;178;2;296;2;1;568;0;4;0;3;2;3;1;0
8;1;13;1;5;1;12;1;923;1;344;1;1;8;2;2;1;3;3;2;3;3
8;1;13;1;5;1;12;1;132;6;78;3;3;22;4;3;2;3;3;4;4;4
8;1;13;1;5;1;25;1;536;5;66;3;2;30;5;3;3;3;1;2;2;3
8;1;13;1;5;1;8;1;395;6;93;3;3;29;4;3;2;4;3;3;2;4
8;1;13;1;5;1;12;1;510;3;296;2;3;564;2;3;2;4;1;3;0;4
8;1;13;1;5;1;25;1;818;4;113;6;4;229;4;3;2;4;2;4;4;4
8;1;13;1;5;1;25;1;178;2;296;2;2;39;3;3;2;4;2;3;2;4
8;1;13;1;5;1;24;1;274;7;24;2;3;24;5;3;2;4;3;4;4;4
8;1;13;1;5;2;8;1;130;10;197;6;3;25;6;4;1;3;3;4;4;1
8;1;13;1;5;4;25;1;205;9;262;4;2;324;8;3;1;4;3;2;2;1
8;1;13;1;5;4;25;1;205;9;262;4;2;568;0;3;3;3;2;2;2;2
8;1;11;1;4;1;25;1;291;4;284;4;3;127;6;3;3;2;2;4;2;1
8;1;11;1;4;1;12;1;132;6;78;3;3;568;0;4;2;4;0;4;4;4
8;1;11;1;4;1;25;1;536;5;66;3;2;568;0;4;2;4;2;4;4;3
8;1;11;1;4;1;8;1;395;6;93;3;3;244;3;4;4;4;3;2;4;4
8;1;11;1;4;1;12;1;510;3;296;2;3;348;9;4;3;2;0;4;4;3
8;1;11;1;4;1;25;1;818;4;113;6;4;209;1;3;1;3;1;2;2;4
